N,IAE,RMSE,overshoot_pct_max,n_T_violations,solve_time_mean,solve_time_median,solve_time_p95,solve_time_max,n_solver_failures
5,0.06156,0.0374,0.0,0,0.051595442419999527,0.046445937999997966,0.047704712799998814,0.2978735469999947,0
10,0.05389,0.03571,0.0,0,0.09981949241999899,0.08953415099999518,0.09154418464999736,0.598446036999988,0
15,0.04918,0.03485,0.0,0,0.1426586059799996,0.12602395450000614,0.1343178628499942,0.9219094869999935,0
20,0.04625,0.03438,0.0,0,0.19589440383999887,0.17230108449999904,0.19406202849999515,1.2639906370000062,0
