controller,IAE,ISE,MAE,RMSE,control_effort_F,control_effort_Qk,n_T_violations,max_T_violation
PID,0.15794,0.00968,0.02613,0.04,26.401,0.0,29,1.422
NMPC,0.26872,0.01922,0.04458,0.05642,10.052,9427.8,46,2.45
