controller,IAE,ISE,MAE,RMSE,overshoot_pct_max,control_effort_F,control_effort_Qk,n_T_violations,n_rate_violations,solve_time_mean_ms,solve_time_max_ms
PID,0.31545,0.02818,0.05242,0.06838,0.0,111.519,0.0,0,0,,
NMPC,0.05737,0.00632,0.00948,0.03231,0.011,181.2,243907.3,0,1,96.432,782.524
